Type,Item/Technique Name,Description,Use Case,Source
Plugin,Poly Synth,A versatile polyphonic synthesizer within Bitwig.,"Creating bass patches (e.g., Bigger Bass) or lead sounds (e.g., Cyborg Shanty).",15% OFF BITWIG STUDIO 3 (link in description) // MAKING A 1 TRACK SONG [1]
Plugin,Serum,A wavetable synthesizer by Xfer Records.,"Creating sub-bass patches and chordal sounds (e.g., Voice of God).",15% OFF BITWIG STUDIO 3 (link in description) // MAKING A 1 TRACK SONG [1]
Plugin,Phase-4,A phase modulation synthesizer in Bitwig.,"Used with the ""Arp Thwack"" preset for synth sounds.",15% OFF BITWIG STUDIO 3 (link in description) // MAKING A 1 TRACK SONG [1]
Plugin,Softube Tape,A tape emulation plugin that adds saturation and harmonic distortion.,"Adding glue and warmth to acoustic guitars to make them sound more ""forward"" and analog.",4 Steps To Amazing Sounding Acoustic Guitar ITB! with Marc Daniel Nelson [2]
Plugin,Waves TransX,A transient shaping plugin.,"Taming harsh, clicky transients on acoustic guitars and kick drums.",4 Steps To Amazing Sounding Acoustic Guitar ITB! with Marc Daniel Nelson [2]
Plugin,Abbey Road Plate,A plate reverb emulation plugin.,"Adding warm, natural reverb to acoustic guitar tracks.",4 Steps To Amazing Sounding Acoustic Guitar ITB! with Marc Daniel Nelson [2]
Plugin,MBSi (Make Believe Studios),A console/channel strip emulation based on vintage hardware.,Processing acoustic guitars and drums to achieve a classic 70s/80s record sound.,"How To Make A Country Song (Post Malone, Luke Combs, Bailey Zimmerman, Kane Brown, HARDY) [3]"
Plugin,Devil-Loc,An aggressive leveling amplifier and distortion plugin.,"Used on electric guitars to remove transients and create a sustained ""lap steel"" effect.","How To Make A Country Song (Post Malone, Luke Combs, Bailey Zimmerman, Kane Brown, HARDY) [3]"
Plugin,Compressor+,An advanced compressor device in Bitwig 6.,"Smoothing out guitar melodies using ""Saturate"" mode for an analog tape-like feel.",Bitwig 6 Guitar Recording & Mixing for Beginners (Full Guide) [4]
Plugin,Delay+,A high-quality delay plugin in Bitwig.,"Used in ping-pong mode with the ""Space"" setting to add reverb-like tails to melodic layers.",Bitwig 6 Guitar Recording & Mixing for Beginners (Full Guide) [4]
Plugin,Multiband FX-3,A Bitwig device that splits audio into three frequency bands for independent processing.,"Applying multiband distortion or compression to guitars to get a more ""upfront"" sound.",Bitwig 6 Guitar Recording & Mixing for Beginners (Full Guide) [4]
Plugin,Tool,A utility device in Bitwig.,Used for audio sidechaining to drums.,15% OFF BITWIG STUDIO 3 (link in description) // MAKING A 1 TRACK SONG [1]
Plugin,Arpeggiator,A MIDI effect that turns chords or single notes into a rhythmic pattern.,Playing notes independently to create melodies from a static source pattern.,15% OFF BITWIG STUDIO 3 (link in description) // MAKING A 1 TRACK SONG [1]
Plugin,Diatonic Transposer,A MIDI effect that keeps notes within a specific musical scale.,"Ensuring that the MIDI notes received from a source track stay within a chosen key, such as A minor.",15% OFF BITWIG STUDIO 3 (link in description) // MAKING A 1 TRACK SONG [1]
DAW Feature,Bitwig Studio,Digital Audio Workstation (DAW) for music production.,Creating an entire song using only one MIDI track by utilizing note receivers and modulators.,15% OFF BITWIG STUDIO 3 (link in description) // MAKING A 1 TRACK SONG [1]
DAW Feature,Note Receiver,A device in Bitwig that grabs MIDI notes from another track.,Pulling notes from a single master MIDI track into multiple separate instrument tracks.,15% OFF BITWIG STUDIO 3 (link in description) // MAKING A 1 TRACK SONG [1]
Mixing Technique,High-Pass Filter,An EQ filter that cuts out low frequencies.,Used on acoustic guitars or synths to remove low frequencies (around 100-200Hz) that interfere with the bass.,15% OFF BITWIG STUDIO 3 (link in description) // MAKING A 1 TRACK SONG [1]
Mixing Technique,Multiband Processing,Using multiple bands to compress or saturate specific frequency ranges.,Gaining precision when processing percussive elements like acoustic guitars instead of using a single broadband compressor.,4 Steps To Amazing Sounding Acoustic Guitar ITB! with Marc Daniel Nelson [2]
Mixing Technique,EQ Sweeping,Moving a frequency band across the spectrum to find resonant frequencies.,Identifying and reducing unpleasant or annoying frequencies in acoustic guitar recordings.,Bitwig 6 Guitar Recording & Mixing for Beginners (Full Guide) [4]
Mixing Technique,Double Tracking,Recording the same part twice and panning them to opposite sides.,"Used on acoustic guitars (e.g., 70% Left and 70% Right) to create a wide, professional stereo sound.","How To Make A Country Song (Post Malone, Luke Combs, Bailey Zimmerman, Kane Brown, HARDY) [3]"
Mixing Technique,Midside EQ,Processing the middle and side information of a stereo signal separately.,Cutting middle frequencies on the side image to create space for center-panned vocals.,"How To Make Folk Country (Like Zach Bryan, Dylan Gossett) [5]"
Mastering Tip,Parallel Compression,Blending a heavily compressed signal with the original dry signal.,Preserving transients while adding consistency to folk music masters.,Mastering for Folk Music [6]
Mastering Tip,Target Loudness,The integrated LUFS level to aim for during the mastering stage.,Targeting -14 LUFS for streaming services or -10 LUFS for more commercial folk tracks.,Mastering for Folk Music [6]
