Technique or Exercise Name,Description,Difficulty Level,Category,Practice Tips,Source
The G-Shape Trick (CAGED),"Using a G-shape voicing for chords like C major by barring the 5th fret (D, G, and B strings) and playing the root on the 8th fret with the pinky, while omitting the A and high E strings.",Advanced,chord progression,"Use this to create smooth transitions between chords like D minor to C, as it allows the index finger to stay anchored in a single position.",[1]
Triad Double Stops,"Visualizing a triad within a pentatonic scale and barring notes (e.g., 5th fret) to hammer on intervals two strings at a time.",Advanced,fill,"Root these visualizations in the CAGED system to ensure you can find ""good notes"" without guesswork.",[2]
Chicken Picking (Hybrid Picking),"A technique using a combination of a pick and the middle/ring fingers to pluck strings with a percussive ""clucking"" attack.",Advanced,picking style,"Expect physical discomfort and soreness initially. Use a ""thud"" (muted note) immediately followed by a ""pop"" (plucked note).",[3-6]
Banjo Rolls on Guitar,"Rolling the fingers in combination with the pick to emulate the rapid, ringing arpeggios of a banjo player.",Advanced,picking style,Rest your fingers on the strings you plan to pick before the roll starts to ensure readiness and speed.,"[6, 7]"
The Power Chord Trick,Modifying a standard C5 power chord (root and fifth) by removing the octave note on the G string and replacing it with a major third on the same string (moving from fret 5 to 4).,Intermediate,chord progression,"Experiment with changing between major and minor thirds to vary the melody while maintaining the ""oomph"" of the power chord.",[1]
Open String Hang,Keeping the top two strings (B and E) open and letting them ring out continuously while changing between different chord shapes.,Intermediate,picking style,Fiddle with hand positioning to ensure the chord shapes don't accidentally mute the ringing open strings. Trust your ears for dissonance.,[1]
The Bluegrass G Run,"A specific melodic lick that signals bluegrass music, typically starting and ending on the G root note using lower register strings.",Intermediate,fill,"Can be used as an intro, outro, or part of a solo. It is transferable to other keys like C by using the same relative intervals.",[8]
Pentatonic Fills (E Shape),"Executing major pentatonic runs between chords. For G to A minor, use a sliding scale on strings 6 and 5 (root 2-3-5-6-root).",Intermediate,fill,Use a 16th note rhythmic figure to fit six notes into two beats. Practice with a metronome to ensure the timing is precise.,[2]
Travis Picking,A fingerstyle pattern involving a steady alternating bass thumb movement paired with syncopated melodies on higher strings.,Intermediate,picking style,Slightly palm-mute the bass notes. Do not speed up the tempo until the thumb pattern is consistent and automatic.,"[3, 9]"
Two-Note Blues Hack,Using a two-note grouping (the flat 7 and major 3) on the D and G strings to play through a 12-bar blues progression in any key.,Intermediate,chord progression,Move the shape down one fret for the 4-chord and up one fret from the 1-chord for the 5-chord.,[10]
Scale Folding Exercise,"A warm-up where scale intervals fold into each other in groups of three, skipping one tone each time to create motion.",Intermediate,scale,"Practice as quarter, eighth, and then 16th notes. Use a metronome to build muscle memory and improve timing.",[11]
Fattening Open Chords,"Adding the fifth of the chord as a bass note on the low E string. For a C major chord, move the ring finger to the G on the E string and use the pinky for the C on the A string.",Beginner,chord progression,"Use the low E string to maximize the guitar's sound potential; this works well for C, D, and G major voicings.",[1]
The Chuck,A percussive sound created by a sharp downstroke of the pick on the offbeat to accent the rhythm.,Beginner,picking style,"Focus on the sound of the pick hitting the strings. Play the root on the downbeat and the ""chuck"" on the offbeat.",[8]
Alternating Bass,"Rhythmic movement between the root note and the fifth of a chord on the lower strings, emulating a bass player.",Beginner,picking style,"Use modified chord shapes, like a C chord with the ring finger on the G (low E string), to toggle between notes without moving the whole hand.",[8]
Middle Finger On/Off Trick,"Lifting the middle finger off the fretboard and hammering it back down while holding a standard chord shape (C, F major 7, or G).",Beginner,fill,Practice hammer-ons and pull-offs while keeping the other fingers of the chord stationary to build independence.,[12]
